,Headlines,City,latitude,longitude,countrycode,cluster,x,y,count,longitude_cluster_center,latitude_cluster_center,x_cluster_center,y_cluster_center,distance,disease
0,Could Zika Reach New York City?,New York City,40.71427,-74.00597,US,0,-74.00597,40.71427,72,-75.25495519457603,40.041544165359504,4195246.65228508,1866217.547729983,80.45449459726957,Zika
1,Baltimore plans for Zika virus,Baltimore,39.29038,-76.61219,US,0,-76.61219,39.29038,72,-75.25495519457603,40.041544165359504,4195246.65228508,1866217.547729983,88.84392181518915,Zika
6,Hillsborough uses innovative trap against Zika 20 minutes ago,Hillsborough,40.4776,-74.62682,US,0,-74.62682,40.4776,72,-75.25495519457603,40.041544165359504,4195246.65228508,1866217.547729983,44.74174354791487,Zika
9,Zika cases concern Charlotte residents,Charlotte,35.22709,-80.84313,US,0,-80.84313,35.22709,72,-75.25495519457603,40.041544165359504,4195246.65228508,1866217.547729983,451.3115179164009,Zika
54,Zika virus case reported in Rockland,Rockland,42.13066,-70.91616,US,0,-70.91616,42.13066,72,-75.25495519457603,40.041544165359504,4195246.65228508,1866217.547729983,267.88157531192957,Zika
56,Outbreak of Zika in Leesburg,Leesburg,39.11566,-77.5636,US,0,-77.5636,39.11566,72,-75.25495519457603,40.041544165359504,4195246.65228508,1866217.547729983,138.488771589294,Zika
114,Dallas man comes down with case of Zika,Dallas,32.78306,-96.80667,US,2,-96.80667,32.78306,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,51.04355488991267,Zika
115,Zika Concerns are Spreading in Houston,Houston,29.76328,-95.36327,US,2,-95.36327,29.76328,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,225.16115688334153,Zika
116,More Zika patients reported in Austin,Austin,30.26715,-97.74306,US,2,-97.74306,30.26715,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,149.01824170636567,Zika
117,Zika San Antonio Patient Speaks Out,San Antonio,29.42412,-98.49363,US,2,-98.49363,29.42412,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,213.96810810711028,Zika
118,Spring break ruined by Zika in Fort Lauderdale,Spring,30.07994,-95.41716,US,2,-95.41716,30.07994,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,205.61815155969197,Zika
119,Outbreak of Zika in Corpus Christi,Corpus Christi,27.80058,-97.39638,US,2,-97.39638,27.80058,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,319.15006230851395,Zika
120,Outbreak of Zika in Stephenville,Stephenville,32.2207,-98.20226,US,2,-98.20226,32.2207,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,39.30798890879405,Zika
121,Zika Virus Detected in Lubbock,Lubbock,33.57786,-101.85517,US,2,-101.85517,33.57786,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,260.58875127404576,Zika
122,Zika-carrying mosquitoes discovered in Ardmore,Ardmore,34.17426,-97.14363,US,2,-97.14363,34.17426,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,123.58348543802633,Zika
123,Frisco Woman Tests Positive For Zika Virus,Frisco,33.15067,-96.82361,US,2,-96.82361,33.15067,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,66.52938407170357,Zika
125,Zika symptoms spotted in Arlington,Arlington,32.73569,-97.10807,US,2,-97.10807,32.73569,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,34.64793371369058,Zika
126,Zika case reported in Abilene,Abilene,32.44874,-99.73314,US,2,-99.73314,32.44874,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,125.98728931885381,Zika
127,More Zika patients reported in Waco,Waco,31.54933,-97.14667,US,2,-97.14667,31.54933,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,65.08590001706965,Zika
129,More Zika patients reported in Carrollton,Carrollton,32.95373,-96.89028,US,2,-96.89028,32.95373,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,54.059109796540326,Zika
130,Zika spreads to Lewisville,Lewisville,33.04623,-96.99417,US,2,-96.99417,33.04623,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,54.68904360565033,Zika
131,Fort Hood Reports its First Zika Patient,Fort Hood,31.13489,-97.77561,US,2,-97.77561,31.13489,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,89.56639037799897,Zika
133,More Zika patients reported in Fort Worth,Fort Worth,32.72541,-97.32085,US,2,-97.32085,32.72541,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,25.61092240262913,Zika
134,Zika Outbreak in Wichita Falls,Wichita Falls,33.91371,-98.49339,US,2,-98.49339,33.91371,21,-97.57139936660934,32.42043605612783,2294897.6060275505,844304.5478911242,116.05820324675709,Zika
234,Is Lafayette prepared to combat Zika?,Lafayette,30.22409,-92.01984,US,5,-92.01984,30.22409,10,-92.402040814266,31.506799346824668,2783482.634816503,742620.6254078932,91.41558373155146,
235,Zika only the latest mosquito-borne threat to New Orleans,New Orleans,29.95465,-90.07507,US,5,-90.07507,29.95465,10,-92.402040814266,31.506799346824668,2783482.634816503,742620.6254078932,174.80002585922716,
