,Headlines,City,accented_city,latitude,longitude,countrycode,pop,cluster,x,y
0,Could Zika Reach New York City?,New York City,New York City,40.71427,-74.00597,US,8804190.0,0,-74.00597,40.71427
1,First Case of Zika in Miami Beach,Miami Beach,Miami Beach,25.79065,-80.13005,US,92312.0,0,-80.13005,25.79065
2,"Mystery Virus Spreads in Recife, Brazil",Recife,Recife,-8.05389,-34.88111,BR,1653461.0,1,-34.88111,-8.05389
3,Dallas man comes down with case of Zika,Dallas,Dallas,32.78306,-96.80667,US,1300092.0,0,-96.80667,32.78306
4,Trinidad confirms first Zika case,Trinidad,Trinidad,-14.83333,-64.9,BO,84259.0,0,-64.9,-14.83333
5,Zika Concerns are Spreading in Houston,Houston,Houston,29.76328,-95.36327,US,2304580.0,0,-95.36327,29.76328
6,Geneve Scientists Battle to Find Cure,Geneve,Genève,46.20222,6.14569,CH,183981.0,2,6.14569,46.20222
7,The CDC in Atlanta is Growing Worried,Atlanta,Atlanta,33.749,-84.38798,US,463878.0,0,-84.38798,33.749
8,Zika Infested Monkeys in Sao Paulo,Sao Paulo,São Paulo,-23.5475,-46.63611,BR,12400232.0,1,-46.63611,-23.5475
9,Brownsville teen contracts Zika virus,Brownsville,Brownsville,25.90175,-97.49748,US,183887.0,0,-97.49748,25.90175
10,Mosquito control efforts in St. Louis take new tactics with Zika threat,St. Louis,St. Louis,38.62727,-90.19789,US,315685.0,0,-90.19789,38.62727
11,San Juan reports 1st U.S. Zika-related death amid outbreak,San Juan,San Juan,18.46633,-66.10572,PR,418140.0,0,-66.10572,18.46633
12,"Flu outbreak in Galveston, Texas",Galveston,Galveston,29.30135,-94.7977,US,50180.0,0,-94.7977,29.30135
13,Zika alert - Manila now threatened,Manila,Manila,14.6042,120.9822,PH,1600000.0,3,120.9822,14.6042
14,Zika afflicts 7 in Iloilo City,Iloilo,Iloilo,10.69694,122.56444,PH,387681.0,3,122.56444,10.69694
15,New Los Angeles Hairstyle goes Viral,Los Angeles,Los Angeles,34.05223,-118.24368,US,3898747.0,0,-118.24368,34.05223
17,Orlando volunteers aid Zika research,Orlando,Orlando,28.53834,-81.37924,US,307573.0,0,-81.37924,28.53834
19,Chicago's First Zika Case Confirmed,Chicago,Chicago,41.85003,-87.65005,US,2696555.0,0,-87.65005,41.85003
20,Tampa Bay Area Zika Case Count Climbs,Tampa,Tampa,27.94752,-82.45843,US,384959.0,0,-82.45843,27.94752
21,"Bad Water Leads to Sickness in Flint, Michigan",Flint,Flint,43.01253,-83.68746,US,98310.0,0,-83.68746,43.01253
22,Baltimore plans for Zika virus,Baltimore,Baltimore,39.29038,-76.61219,US,576498.0,0,-76.61219,39.29038
23,London Health Unit Tracks Mad Cow Disease,London,London,51.50853,-0.12574,GB,8961989.0,2,-0.12574,51.50853
24,Zika cases in Vietnam's Ho Chi Minh City surge,Ho Chi Minh City,Ho Chi Minh City,10.82302,106.62965,VN,8993082.0,3,106.62965,10.82302
25,Philadelphia experts track pandemic,Philadelphia,Philadelphia,39.95238,-75.16362,US,1576251.0,0,-75.16362,39.95238
